Framenr;FrameTime;State;OutlierInfo;LastFltNrSubEv;LastFltNrEv;LastFltNrDec;Decision;SubDecision;PointEvents;rest;walk;dig;drink;eat;groom;rear-unsup;rear-wall;sniff;jump;
128;2021-01-15T16:18:18.505104+0100;000001000001;2.68;9;8;21;70;998;;0;0.6561662198;0;0;0;0;0.0006702412869;0.3351206434;0.008042895442;0;
129;2021-01-15T16:18:18.538420+0100;000001000001;2.71;9;8;21;70;998;;0;0.6561662198;0;0;0;0;0.0006702412869;0.3351206434;0.008042895442;0;
130;2021-01-15T16:18:18.571737+0100;000001000001;2.53;9;8;21;70;998;;0;0.6561662198;0;0;0;0;0.0006702412869;0.3351206434;0.008042895442;0;
131;2021-01-15T16:18:18.605053+0100;000001000001;2.66;9;8;21;70;998;;0;0.6561662198;0;0;0;0;0.0006702412869;0.3351206434;0.008042895442;0;
132;2021-01-15T16:18:18.638370+0100;000001000001;2.55;9;8;21;70;998;;0;0.6561662198;0;0;0;0;0.0006702412869;0.3351206434;0.008042895442;0;
133;2021-01-15T16:18:18.671686+0100;000001000001;2.5;9;8;21;70;998;;0;0.6527027027;0;0;0;0;0.0006756756757;0.3378378378;0.008783783784;0;
134;2021-01-15T16:18:18.705003+0100;000001000001;2.66;9;8;21;70;998;;0;0.6480599047;0;0;0;0;0.000680735194;0.340367597;0.0108917631;0;
135;2021-01-15T16:18:18.738319+0100;000001000001;2.65;9;8;21;70;998;;0;0.6267029973;0;0;0;0;0.0006811989101;0.340599455;0.03201634877;0;
136;2021-01-15T16:18:18.771636+0100;000001000001;2.67;9;8;21;70;998;;0;0.5885558583;0;0;0;0;0.0006811989101;0.340599455;0.07016348774;0;
137;2021-01-15T16:18:18.804952+0100;000001000001;2.71;9;8;21;70;998;;0;0.4993188011;0;0;0;0;0.0006811989101;0.340599455;0.159400545;0;
138;2021-01-15T16:18:18.838269+0100;000001000001;2.71;9;8;21;0;998;;0;0.3585926928;0;0;0;0;0.0006765899865;0.3382949932;0.302435724;0;
139;2021-01-15T16:18:18.871585+0100;000001000001;2.76;9;8;21;160;998;;0;0.1884253028;0;0;0;0;0.0006729475101;0.336473755;0.4744279946;0;
140;2021-01-15T16:18:18.904902+0100;000001000001;2.89;9;8;21;160;998;;0;0.08613728129;0;0;0;0;0.0006729475101;0.336473755;0.5767160162;0;
141;2021-01-15T16:18:18.938218+0100;000001000001;2.76;9;8;21;160;998;;0;0.04312668464;0;0;0;0;0.0006738544474;0.3369272237;0.6192722372;0;
142;2021-01-15T16:18:18.971535+0100;000101000001;2.73;9;8;21;160;998;;0;0.03641267701;0;0;0;0;0.0006743088334;0.3371544167;0.6257585974;0;
143;2021-01-15T16:18:19.004851+0100;000101000001;2.95;9;8;21;160;998;;0;0.03371544167;0;0;0;0;0.0006743088334;0.3371544167;0.6284558328;0;
144;2021-01-15T16:18:19.038168+0100;000101000001;2.74;9;8;21;160;998;;0;0.01016949153;0;0;0;0;0.0006779661017;0.3389830508;0.6501694915;0;
145;2021-01-15T16:18:19.071484+0100;000101000001;2.82;9;8;21;160;998;;0;0.002732240437;0;0;0;0;0.0006830601093;0.3415300546;0.6550546448;0;
146;2021-01-15T16:18:19.104801+0100;000101000001;3.08;9;8;21;160;998;;0;0;0;0;0;0;0.0006849315068;0.3424657534;0.6568493151;0;
147;2021-01-15T16:18:19.138117+0100;000001000001;3.41;9;8;21;160;998;;0;0;0;0;0;0;0.002129169624;0.354861604;0.6430092264;0;
148;2021-01-15T16:18:19.171434+0100;000001000001;3.68;9;8;21;20;998;;0;0;0;0;0;0;0.021;0.66;0.319;0;
149;2021-01-15T16:18:19.204750+0100;000001000001;4.03;9;8;21;20;998;;0;0;0;0;0;0;0.02897102897;0.8851148851;0.08591408591;0;
150;2021-01-15T16:18:19.238067+0100;000001000001;4.21;9;8;21;20;998;;0;0;0;0;0;0;0.031;0.969;0;0;
151;2021-01-15T16:18:19.271383+0100;000101000001;4.32;9;8;21;20;998;;0;0;0;0;0;0;0.031;0.969;0;0;
152;2021-01-15T16:18:19.304700+0100;000101000001;4.62;9;8;21;20;998;;0;0;0;0;0;0;0.031;0.969;0;0;
153;2021-01-15T16:18:19.338016+0100;000101000001;4.79;9;8;21;20;998;;0;0;0;0;0;0;0.031;0.969;0;0;
154;2021-01-15T16:18:19.371333+0100;000101000001;4.77;9;8;21;20;998;;0;0;0;0;0;0;0.031;0.969;0;0;
155;2021-01-15T16:18:19.404649+0100;000101000001;4.98;9;8;21;20;998;;0;0;0;0;0;0;0.031;0.969;0;0;
156;2021-01-15T16:18:19.437966+0100;000101000001;4.66;9;8;21;20;998;;0;0;0;0;0;0;0.031;0.969;0;0;
157;2021-01-15T16:18:19.471282+0100;000101000001;4.47;9;8;21;20;998;;0;0;0;0;0;0;0.031;0.969;0;0;
158;2021-01-15T16:18:19.504599+0100;000101000001;4.5;9;8;21;20;998;;0;0;0;0;0;0;0.003086419753;0.9969135802;0;0;
159;2021-01-15T16:18:19.537915+0100;000101000001;4.31;9;8;21;20;998;;0;0;0;0;0;0;0.003086419753;0.9969135802;0;0;
160;2021-01-15T16:18:19.571232+0100;000101000001;4.3;9;8;21;20;998;;0;0;0;0;0;0;0.003086419753;0.9969135802;0;0;
161;2021-01-15T16:18:19.604548+0100;000001000001;4.52;9;8;21;20;998;;0;0;0;0;0;0;0.003086419753;0.9969135802;0;0;
162;2021-01-15T16:18:19.637865+0100;000001000001;4.55;9;8;21;20;998;;0;0;0;0;0;0;0.003086419753;0.9969135802;0;0;
163;2021-01-15T16:18:19.671181+0100;000101000001;4.25;9;8;21;20;998;;0;0;0;0;0;0;0.002991026919;0.9661016949;0.03090727817;0;
